Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	gamma	A.1	A.2	A.3	A.4	Theta.1	Theta.2	Theta.3	Theta.4	psi.height	psi.treeLength	D.treeLikelihood
920000	-6621.71037445188	-6157.667688986443	-464.0426854654372	0.20780997936309709	0.32086026318915956	0.20941144767524872	0.26191830977249553	0.06258746050930283	0.3668794378572314	0.04527995090977158	0.03706053602183605	0.4428941826932128	0.045298432008645716	0.353637882484322	11	13	26	12	12692.293161846741	243.25196189012962	240.99243443811503	283.65310480267146	438.76210650292523	5456.517123965177	-6157.667688986443
940000	-6610.013942925997	-6156.000877095937	-454.01306583006067	0.22895590540525332	0.295756360304386	0.21849483218338261	0.25679290210697914	0.04726092814546886	0.34916672259565396	0.05542536584249999	0.030822665647490033	0.47389438084750096	0.04342993692138666	0.35815812660379776	9	30	15	8	13672.404244605652	218.26648216157324	205.86883205795786	515.2426481467145	396.3275372173315	5321.343687999554	-6156.000877095937
960000	-6605.521058624844	-6157.217768407121	-448.3032902177232	0.19796492556259102	0.3506215831181127	0.21062951356360068	0.2407839777556965	0.060193868954730737	0.4024060226836852	0.0501747752281948	0.028011181033302697	0.4154466309790652	0.04376752112102188	0.3575971682308899	10	9	4	39	8812.614292086499	130.31512716955967	84.69099505411963	221.76669212574524	341.04339779718975	4991.708784660739	-6157.217768407121
980000	-6620.468792975626	-6160.478360929967	-459.9904320456589	0.1816356093154667	0.31771571205024857	0.2230018148756188	0.2776468637586667	0.05682855521267395	0.3891896697983839	0.060576185190328674	0.030409881531171634	0.4333369654667111	0.029658742800731296	0.3626295027603243	11	28	21	2	11352.585141058318	254.0431668490275	277.6029649390809	98.38360537696033	451.4495795107264	6259.153180035401	-6160.478360929967
1000000	-6604.549072235128	-6152.932830192211	-451.61624204291684	0.18444549100428584	0.33429608014168105	0.21094770185950307	0.2703107269945308	0.041128174839122886	0.40080446984014345	0.058580592171948234	0.036743647090202766	0.42382829830337065	0.038914817755212446	0.3265929794726676	12	7	32	11	9383.344854548794	292.5678175320656	157.0623290050151	217.83762772008464	353.3623570759288	4895.616499379173	-6152.932830192211
1020000	-6610.657814935735	-6155.913343874347	-454.7444710613871	0.18463171603595535	0.3480698283544721	0.21542777360933058	0.25187068200024276	0.04157357127514191	0.37000760682618083	0.06618141964901754	0.03269075206866823	0.4485757243443946	0.04097092583659736	0.37775848343754953	10	2	40	10	13883.353546494638	1982.8551563641313	131.56017220716677	303.5187043700201	422.0527685442551	5404.720628068238	-6155.913343874347
1040000	-6617.878872633212	-6160.65047112109	-457.2284015121226	0.18541912485917791	0.3285930873622643	0.21800293222353392	0.26798485555502477	0.06181384490855413	0.4098096773867669	0.06502175919095059	0.02297554690678877	0.4028447011876636	0.037534470419276454	0.37386578852551905	13	17	28	4	8477.216801019395	202.31846844527732	156.4836788659944	310.4840243864578	447.4637271880885	5489.735762007703	-6160.65047112109
1060000	-6617.287036340655	-6168.310372985351	-448.97666335530386	0.18751471160125513	0.328898455350089	0.228612792743132	0.2549740403055248	0.051768133457784866	0.3625337375010974	0.0738956678756732	0.02940429487776991	0.43933599885789254	0.043062167429782444	0.3944161839730752	10	14	34	4	5306.256567386025	536.249933244263	113.08010447906206	334.6635903918924	373.45834257981005	5160.896735813739	-6168.310372985351
1080000	-6647.560625685102	-6163.509337964405	-484.0512877206975	0.20936703371753068	0.3154895865657041	0.23774519995076626	0.23739817976599997	0.048985101422029005	0.3622396326251251	0.0654974501475201	0.02840205071770004	0.45048283839056846	0.044392926697057654	0.43440793434945135	14	10	23	15	9206.691231834284	1087.315642231151	219.98943620972355	402.93171727177156	463.732412897808	5895.3994972298	-6163.509337964405
1100000	-6652.90178082976	-6179.798327041817	-473.10345378794295	0.20433815826940446	0.2681292047024266	0.26979064918071927	0.2577419878474507	0.05819995360213932	0.27902256377390705	0.057846507563234235	0.034918024276450826	0.540109301434869	0.02990364934940025	0.3603709829844044	13	7	27	15	10679.522916226042	532.6592058745058	286.1834513977024	225.92310991308392	478.46425011695527	6261.532076717318	-6179.798327041817
1120000	-6634.971716747141	-6165.870038605104	-469.10167814203635	0.16946037419340987	0.3486245927073769	0.2132533804258404	0.268661652673374	0.048776087322495915	0.40584180366335376	0.06739251774252569	0.02587394138629658	0.4124203731025302	0.03969527678279875	0.35710299808520546	4	12	43	3	9278.575367089414	4606.013123014143	225.11345748083372	74.04002228869238	373.7391190736408	5053.427511223303	-6165.870038605104
1140000	-6635.159311219265	-6169.301044228418	-465.8582669908476	0.17391487646049092	0.30022892089625425	0.23375248393529602	0.29210371870795987	0.07237629327377865	0.36495022808379696	0.06312999532197147	0.028451623864423934	0.4319038857022979	0.039187973753732	0.3436346936450104	10	9	40	3	7408.694825927462	400.44792150585164	251.66349195865897	17.455683172138187	375.91191654581735	5063.229444388133	-6169.301044228418
1160000	-6632.745867459571	-6162.414976821106	-470.3308906384645	0.2259963639995025	0.2998259157156796	0.23005947481088412	0.24411824547393468	0.04838658022477716	0.3052912511543913	0.05996217077600822	0.03382989568149783	0.5153669571380646	0.03716314502526169	0.3337341006210701	12	1	48	1	6848.29803788166	533.0465186397283	240.5920078769154	15.260836911584796	491.9153069867278	6057.211404055779	-6162.414976821106
1180000	-6656.921013150243	-6175.417351719445	-481.5036614307984	0.1939010125658536	0.3057292790321444	0.22652650440276081	0.27384320399924195	0.051764653087863065	0.2882846939586746	0.05418174657295876	0.03730891712300628	0.535726731795846	0.0327332574616523	0.3414622219025341	14	1	43	4	8057.201219144326	274.97123425545027	287.22745682172706	461.3049459403194	553.166647476085	7501.671806715376	-6175.417351719445
1200000	-6630.372590628195	-6157.6763840909725	-472.69620653722296	0.20517398055385141	0.3084343979099316	0.21525213593332582	0.27113948560289197	0.06313680990779698	0.34915128625714187	0.06222684471325231	0.03337759240766669	0.43865984521011425	0.05344762150402882	0.3471713907344768	10	3	37	12	11617.478972700808	8618.34396219856	213.1017786175469	186.00312047677562	407.14906555979894	5447.435313366094	-6157.6763840909725
1220000	-6662.184414313418	-6187.4989159381985	-474.6854983752195	0.17111484889509895	0.3254601432193093	0.23621858082785682	0.2672064270577354	0.0806923259907515	0.36564517576494054	0.068016075624002	0.02697396584220116	0.42783310588823226	0.030839350889873555	0.41730802311397586	4	8	20	30	5563.57019388254	7122.4432142594915	397.46849798822535	186.8459666691821	470.7220603675502	6120.5243438401685	-6187.4989159381985
1240000	-6647.237945458494	-6171.358862925574	-475.8790825329202	0.16899491205565587	0.3327307576671181	0.22167447233827997	0.2765998579389463	0.046102498265687776	0.389058214358965	0.06484906308183863	0.029954396400430697	0.4181948177696871	0.05184101012339179	0.37137027522151267	10	1	14	37	11093.634446922058	644.6979829501903	432.16785301254345	176.39930660718676	424.96476722901275	6022.658456484949	-6171.358862925574
1260000	-6658.682572578193	-6179.96780042664	-478.71477215155335	0.1954691975258546	0.31469240723286057	0.2129465148502761	0.2768918803910089	0.04800725266905701	0.3877909601607787	0.06904792674782059	0.0321869172977046	0.4047159949812479	0.05825094814339218	0.36826208485199863	11	20	26	5	7060.6150911803525	757.4620603173895	215.0951691623689	512.476824515521	429.22363189487027	5639.117199428203	-6179.96780042664
1280000	-6642.11511921871	-6169.545118971297	-472.57000024741336	0.19116376162206858	0.3126418059119367	0.22881944141293756	0.2673749910530575	0.08286328107540458	0.3995304914573201	0.03844818063479263	0.02862332851048664	0.41069123117208006	0.039843487149916944	0.3672815765415559	9	13	33	7	8411.081642657226	1597.6493289888024	138.21284780389914	377.8800558921799	397.53734048868114	5318.382459504933	-6169.545118971297
1300000	-6632.010401091222	-6169.296180935305	-462.71422015591696	0.1861823108952489	0.3499151030005109	0.21788563388501214	0.24601695221922845	0.058933833253860354	0.34139010450720836	0.07236935665655474	0.0322192814988597	0.4529713402276065	0.04211608385591131	0.4064293745241355	10	12	33	7	11915.846231860924	1060.3023683572035	149.24174141659975	236.26742154662767	366.2294887087684	5243.4894986020745	-6169.296180935305
1320000	-6646.869337069992	-6172.964087752902	-473.90524931709035	0.21243105212746224	0.30562842425878506	0.22239382994872206	0.2595466936650309	0.048948860142569495	0.3255483564220813	0.04909102353404303	0.02886938131226012	0.4987272774654484	0.04881510112359866	0.38655794228404483	16	1	30	15	6515.84743092427	1499.289242668085	139.16570001361666	370.2833602769729	456.463008858319	6400.027631820095	-6172.964087752902
1340000	-6624.045272375849	-6162.444550118904	-461.6007222569447	0.19894899596138735	0.320318553684466	0.2254303015512087	0.2553021488029383	0.05392745199116634	0.3684545070160697	0.06186098852312285	0.028798971313130608	0.4405209923240864	0.04643708883242505	0.35875780049833517	9	14	20	19	7957.206923030969	1394.0917721528886	110.83580798643814	142.22352803950417	324.9423021190692	4652.776188472981	-6162.444550118904
