Sample	posterior	likelihood	prior	pi.0.A	pi.0.C	pi.0.G	pi.0.T	pi.1.A	pi.1.C	pi.1.G	pi.1.T	pi.2.A	pi.2.C	pi.2.G	pi.2.T	kappa.0	kappa.1	kappa.2	mu.0	mu.1	mu.2	clockRate	Theta	psi.height	codon.0.treeLikelihood	codon.1.treeLikelihood	codon.2.treeLikelihood
315000	-6053.786983726165	-5481.3021501189205	-572.4848336072449	0.47290980842285235	0.24435549968216988	0.12460337085453593	0.15813132104044142	0.3051372425588902	0.44812437471332356	0.069503831571241	0.17723455115654563	0.320555434712063	0.39582112510676404	0.08046576272441242	0.203157677456761	8.731559722614131	4.047897057972242	2.7376121152456574	0.7114621240561452	0.9911282223397886	1.2960356637186206	0.0024886113974726246	35.84378396038161	52.65708718807697	-1436.6792866905248	-1784.9032337946649	-2259.719629633731
322500	-6051.709271330029	-5480.388667991634	-571.3206033383951	0.4706113917636318	0.27375632432833963	0.08942812786273667	0.16620415604529148	0.267999849331671	0.43469724730746345	0.0942176415596881	0.2030852618011779	0.32887902777312233	0.3682872577413814	0.08886287542735935	0.2139708390581375	11.548501992957608	2.9313445331478913	2.6869977659634943	0.7261503087108834	0.9365405306365375	1.3360051145035843	0.002706263001528605	31.65098503174588	51.51511125557653	-1443.431439652013	-1784.9906636246217	-2251.966564714999
330000	-6070.968608751677	-5492.020781651823	-578.9478270998533	0.46430133608365143	0.2837228119752449	0.08432948824778763	0.16764636369331565	0.2853229559553637	0.4082246795358463	0.10299228115925946	0.20346008334953095	0.28797060277803593	0.44303492440953396	0.06459848500750968	0.20439598780492085	9.118150879443009	5.1110259735139625	3.6716296834106945	0.671927744158576	1.0024706664148808	1.324039340589204	0.002605310207222705	33.66510403882204	50.91301943269832	-1441.41182030263	-1788.3959487679385	-2262.2130125812546
337500	-6057.803095751569	-5482.337399518616	-575.4656962329537	0.4801249914514196	0.26458032032248097	0.10593463982810618	0.14936004839799286	0.3259075436648183	0.4230779098994081	0.09221795838137506	0.15879658805439897	0.3381176410286673	0.3504662010062116	0.08791179492937207	0.22350436303574947	9.286300473179972	2.526658512148586	3.399681689950437	0.6338791598129266	0.9688416145182098	1.3955357930965449	0.002404314825021475	32.6528407024104	55.02538332612787	-1441.914131439332	-1783.736207501822	-2256.687060577462
345000	-6061.526336182548	-5476.056415288225	-585.4699208943229	0.45632236465515563	0.25902597046575904	0.09806096477059062	0.1865907001084944	0.33872205734199895	0.38671552677884785	0.11563388947578654	0.15892852640336716	0.3468946726779141	0.3611223181886579	0.08413173278871262	0.20785127634471576	11.279501329069085	1.3743991117983492	1.4207519177050614	0.7626839947473746	1.014001897665791	1.2221840313713466	0.0024769646105204796	36.78924702033896	54.1589294639276	-1443.919741882583	-1781.3963509158498	-2250.7403224897926
352500	-6086.52052818539	-5499.963645492909	-586.5568826924813	0.46784348470999915	0.22467248549468016	0.1227434726538887	0.18474055714143175	0.3221436710075477	0.3734600652708642	0.11211128026345724	0.19228498345813133	0.33001370011047276	0.3661704186842487	0.08300333759482469	0.22081254361045433	8.151690157202639	4.196606006606096	0.42481378201838604	0.7284599293998347	0.9496787175800343	1.3205683050648929	0.0023098436967713895	37.65290763113295	57.31999617598754	-1440.110793566025	-1792.88389851313	-2266.9689534137538
360000	-6072.087925531387	-5484.710837782787	-587.3770877485991	0.508505143823592	0.26592751021680844	0.10894877701579063	0.11661856894380858	0.35657095309408143	0.4111332462965505	0.07530689990208854	0.15698890070728	0.3386666446768954	0.369225345380282	0.07166805899082523	0.2204399509519978	11.029670625125538	4.2376439648146675	3.392088972433286	0.6256692220095658	1.043761809533537	1.3287864409426575	0.0023906378086644515	37.52688286129471	53.40944132784456	-1444.549529899487	-1782.8251773850327	-2257.3361304982673
367500	-6077.1647314422025	-5478.959349387728	-598.2053820544746	0.49966063108673847	0.22113485219306475	0.07437392006493537	0.20483059665526107	0.31758919253897583	0.40002113228072445	0.08742125281051964	0.19496842236978051	0.3025127747220969	0.38034997651170505	0.09049589252720082	0.2266413562389977	11.073287621588795	2.968004511430367	2.0878180484309747	0.6172643693030737	0.9792144049939208	1.4016986750806395	0.0024054314874109224	40.766913632950626	57.06310256459751	-1430.780727961479	-1785.7989162000163	-2262.379705226233
375000	-6073.454980735437	-5475.682423975387	-597.7725567600501	0.4984683311525873	0.24525206362773105	0.09091935322181952	0.16536025199786183	0.32960346014052394	0.40912222144874355	0.09274722381971857	0.1685270945910144	0.36481651762954004	0.3357870580134382	0.07136964521381109	0.22802677914321118	11.073287621588795	1.9080238788003197	1.7617392307042825	0.5675684960971428	0.9964507542345581	1.433921552030667	0.0022304905837991253	34.35737544628345	56.545579592031935	-1435.9871266613281	-1780.4605728972856	-2259.234724416773
382500	-6075.797033357542	-5484.987546016904	-590.809487340638	0.511853771266122	0.24815812029494524	0.09091935322181952	0.14906875521711305	0.30319161814816875	0.442459666714738	0.06675033614075719	0.18759837899633652	0.27398496252712506	0.38901707614126524	0.10563361739298605	0.2313643439386242	10.425182687511283	3.784755179267871	3.7436444257023913	0.6448335410919367	0.9382301226636796	1.4152450673924413	0.002228600297528328	38.97510333274862	54.99475806640472	-1436.2758323899086	-1787.9200127374852	-2260.79170088951
390000	-6080.287325405525	-5492.840312816733	-587.4470125887924	0.457298569915506	0.2473078110577243	0.09435345188684365	0.20104016713992584	0.3254787139265993	0.378861149218955	0.10911294022200314	0.18654719663244299	0.3162903598779138	0.4312446279924769	0.07015577245814474	0.18230923967146506	10.023643581178838	2.876402391094689	0.6428683767715102	0.6388463755884514	0.9745992406246359	1.3848346046230489	0.002397429387921602	34.2733049686322	54.78509137301837	-1439.5369207381136	-1793.720565911318	-2259.5828261673014
